time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate
2,25,1,25.0,9,1557.0,,,,,,
1,50,2,25.0,26,2903.0,,,,,,
1,75,3,25.0,46,3179.3333333333335,,,,,,
1,100,4,25.0,62,3209.25,3,-0.6263154149055481,20714.40625,1071.4840087890625,1.001298427581787,0.0007
1,125,5,25.0,80,3219.4,28,-5.206233501434326,6130.7900390625,-521.4432983398438,0.9944331645965576,0.0007
1,150,6,25.0,99,3251.6666666666665,53,-20.18517303466797,4903.322265625,-514.2549438476562,0.9785995483398438,0.0007
1,175,7,25.0,115,3354.5714285714284,78,-35.94337463378906,8684.05859375,-512.8701782226562,0.9622527360916138,0.0007
1,200,8,25.0,135,3344.5,103,-51.994754791259766,3747.0400390625,-522.0874633789062,0.9459776878356934,0.0007
1,225,9,25.0,155,3380.3333333333335,128,-68.0819091796875,6519.919921875,-523.6500854492188,0.9298731088638306,0.0007
1,250,10,25.0,174,3432.6,153,-84.32377624511719,4262.18505859375,-516.1738891601562,0.913977324962616,0.0007
1,275,11,25.0,190,3444.0,178,-100.65721893310547,1086.161865234375,-517.9937133789062,0.8983070254325867,0.0007
1,300,12,25.0,207,3422.5,203,-116.87908935546875,7642.7333984375,-504.203125,0.8828725814819336,0.0007
1,325,13,25.0,218,3333.6923076923076,228,-133.1455078125,2760.509521484375,-523.9827270507812,0.8676764369010925,0.0007
1,350,14,25.0,232,3283.6428571428573,253,-149.76548767089844,1943.169677734375,-500.3988342285156,0.8527212142944336,0.0007
1,375,15,25.0,247,3280.4,278,-166.05612182617188,2672.189453125,-494.5721130371094,0.8380125164985657,0.0007
1,400,16,25.0,265,3302.25,303,-182.2883758544922,1998.577880859375,-476.0425720214844,0.82354736328125,0.0007
1,425,17,25.0,288,3315.176470588235,328,-198.6761474609375,1389.2607421875,-442.2254638671875,0.8093230724334717,0.0007
1,450,18,25.0,303,3238.8888888888887,353,-215.11138916015625,1082.662353515625,-445.1448669433594,0.7953366637229919,0.0007
1,475,19,25.0,318,3247.7368421052633,378,-231.27870178222656,1772.67822265625,-430.3356628417969,0.7815876007080078,0.0007
