,index_left,station,geometry
0,2061.0,7000,POINT (-8838317.170326171 5409873.483322544)
1,2255.0,7001,POINT (-8836936.39845795 5413740.160867817)
2,2008.0,7002,POINT (-8838704.005556678 5414104.699313082)
3,1946.0,7003,POINT (-8839074.922100002 5414077.76824505)
4,2129.0,7004,POINT (-8837554.075216783 5412440.506790795)
5,2250.0,7005,POINT (-8836894.841192307 5411130.106514699)
6,2192.0,7006,POINT (-8837156.21935669 5413043.828495697)
7,2005.0,7007,POINT (-8838563.520359298 5412691.309039642)
8,2131.0,7008,POINT (-8837890.927995924 5413495.7685746215)
9,2375.0,7009,POINT (-8835682.571937567 5411487.674177236)
10,2063.0,7010,POINT (-8838211.305490429 5410718.156243722)
11,2190.0,7012,POINT (-8837134.178097513 5412364.805854521)
12,2379.0,7014,POINT (-8835782.091562338 5413453.605030856)
13,2250.0,7015,POINT (-8836605.299196754 5411209.981887252)
14,2310.0,7016,POINT (-8836183.287007155 5410049.764539824)
15,2186.0,7018,POINT (-8837291.583857493 5410134.522238321)
16,2065.0,7020,POINT (-8838384.07334014 5411442.750537357)
17,2252.0,7021,POINT (-8836814.802478425 5411939.845852232)
18,2189.0,7022,POINT (-8837353.811452847 5411513.059207304)
19,1943.0,7023,POINT (-8839390.958134364 5412530.0562601425)
20,2256.0,7024,POINT (-8836705.93201643 5413996.513841311)
21,2257.0,7025,POINT (-8836593.610650219 5414714.131901636)
22,2193.0,7026,POINT (-8837375.964031516 5413826.774466794)
23,2065.0,7027,POINT (-8838031.524512796 5411871.995612093)
24,2315.0,7028,POINT (-8836184.956799518 5412699.310205044)
25,2133.0,7029,POINT (-8837559.752510816 5414427.416561677)
26,2193.0,7030,POINT (-8837330.990957234 5413605.333135552)
27,2318.0,7031,POINT (-8836472.717683218 5414359.855842146)
28,2003.0,7032,POINT (-8838929.650164515 5411818.146569788)
29,2249.0,7033,POINT (-8836584.148493502 5410762.153342801)
30,2257.0,7034,POINT (-8836866.120763682 5414728.906524204)
31,1753.0,7035,POINT (-8840946.759337692 5410510.788121502)
32,2561.0,7036,POINT (-8834340.392837074 5411640.446956731)
33,1941.0,7037,POINT (-8839446.37297688 5411737.696685241)
34,2252.0,7038,POINT (-8836706.377294393 5412375.268548611)
35,2189.0,7039,POINT (-8837459.990165997 5411795.718398235)
36,1821.0,7040,POINT (-8840413.20501832 5413663.655250613)
37,2253.0,7041,POINT (-8836845.749296864 5412472.972219765)
38,2380.0,7042,POINT (-8835873.262225296 5414099.620877102)
39,2247.0,7043,POINT (-8836954.953717334 5409823.952904985)
40,2255.0,7044,POINT (-8836573.239183404 5413549.01186468)
41,2314.0,7045,POINT (-8836175.605962291 5411935.537885662)
42,1877.0,7046,POINT (-8839835.902139066 5410720.77145005)
43,2129.0,7047,POINT (-8837561.422303177 5412632.069857531)
44,2311.0,7048,POINT (-8836314.310047818 5410844.456170987)
45,2375.0,7050,POINT (-8835897.975152252 5411842.917090272)
46,2250.0,7052,POINT (-8836527.59819218 5411015.986850967)
47,2187.0,7053,POINT (-8837412.810782967 5410800.612517075)
48,2124.0,7054,POINT (-8837771.370862814 5410010.385546918)
49,2316.0,7055,POINT (-8836114.825520318 5413294.801002104)
50,2502.0,7056,POINT (-8834947.039534101 5413304.341477145)
51,2187.0,7057,POINT (-8837138.452765958 5410800.289459345)
52,2007.0,7058,POINT (-8838773.468918934 5413545.626444038)
53,2125.0,7059,POINT (-8837707.473475097 5410433.564683468)
54,1884.0,7061,POINT (-8839507.097759109 5413944.837643483)
55,2129.0,7062,POINT (-8837678.085129527 5412857.180770322)
56,2070.0,7063,POINT (-8838088.408772593 5414277.521692537)
57,2499.0,7064,POINT (-8834559.469594955 5411753.066574634)
58,2501.0,7065,POINT (-8834956.991496576 5412910.881996594)
59,2006.0,7066,POINT (-8838515.430339275 5413297.109180646)
60,2311.0,7067,POINT (-8836030.556665786 5410483.098368316)
61,3687.0,7068,POINT (-8825373.830492655 5416526.646599041)
62,2064.0,7069,POINT (-8838267.076555315 5411306.442473624)
63,2249.0,7070,POINT (-8836587.265439246 5410463.407927641)
64,2380.0,7071,POINT (-8835798.344207993 5413935.41961832)
65,1998.0,7072,POINT (-8838772.244404534 5409378.037278029)
66,2062.0,7073,POINT (-8838016.051103575 5409916.861111235)
67,2375.0,7074,POINT (-8835801.360966193 5411443.704393192)
68,2060.0,7075,POINT (-8838306.038377093 5409366.039845362)
69,2248.0,7076,POINT (-8836592.831413785 5409919.62991317)
70,2254.0,7077,POINT (-8836849.200201081 5412941.964224335)
71,1943.0,7078,POINT (-8839123.791356461 5412606.989487085)
72,2316.0,7079,POINT (-8836435.648292784 5413083.066543374)
73,3378.0,7083,POINT (-8827687.16083083 5417335.766141918)
74,1071.0,7084,POINT (-8846082.628760777 5410760.614979159)
75,3316.0,7085,POINT (-8828175.296797961 5417181.513648525)
76,1073.0,7086,POINT (-8846050.457427936 5411823.485303682)
77,3129.0,7087,POINT (-8829502.113808725 5416786.6574791195)
78,3067.0,7088,POINT (-8830191.626734698 5416574.227226975)
79,2254.0,7089,POINT (-8836530.381179448 5413393.591559571)
80,3004.0,7090,POINT (-8830914.53550791 5416360.724353856)
81,2880.0,7091,POINT (-8831797.68868812 5416225.729049769)
82,2756.0,7092,POINT (-8832540.579309927 5416088.580767321)
83,2755.0,7093,POINT (-8832788.487815924 5415808.133493356)
84,2693.0,7094,POINT (-8833352.58820357 5415820.816545155)
85,2631.0,7095,POINT (-8833944.095449848 5415604.191180866)
86,2949.0,7096,POINT (-8831384.960544052 5419553.130295694)
87,2629.0,7097,POINT (-8833725.24133095 5414695.509754773)
88,2628.0,7098,POINT (-8833587.873079311 5414179.491148111)
89,2561.0,7099,POINT (-8834086.205911795 5411651.939633535)
90,2564.0,7100,POINT (-8834456.721704952 5413008.129710829)
91,2436.0,7101,POINT (-8835100.816278683 5411230.750827963)
92,2126.0,7102,POINT (-8837624.095176494 5411239.366105956)
93,2750.0,7103,POINT (-8832507.662136499 5413062.493475634)
94,2625.0,7104,POINT (-8833899.99629929 5412481.555244788)
95,2562.0,7105,POINT (-8834469.399758069 5412377.899610314)
96,2623.0,7106,POINT (-8833697.522777742 5411779.067747029)
97,2623.0,7107,POINT (-8833962.129207356 5411480.59715098)
98,2561.0,7108,POINT (-8834136.121571468 5411850.917521013)
