time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate
2,25.0,10,1391.0,25,1,,,,,,
2,25.0,20,1455.0,50,2,,,,,,
2,25.0,35,1632.6666666666667,75,3,,,,,,
1,25.0,55,1765.75,100,4,1.0006686449050903,-154.8289337158203,9717.451171875,3,0.4706883728504181,0.0007
1,25.0,74,1786.4,125,5,0.9843236207962036,-467.72705078125,4622.30322265625,28,-14.763423919677734,0.0007
1,25.0,92,1848.0,150,6,0.9668170809745789,-471.4984130859375,2738.380126953125,53,-31.567968368530273,0.0007
1,25.0,116,1888.857142857143,175,7,0.9497248530387878,-500.0053405761719,9270.90625,78,-48.4541015625,0.0007
1,25.0,138,1896.625,200,8,0.9330011606216431,-446.193115234375,5624.06591796875,103,-65.08733367919922,0.0007
1,25.0,149,1895.2222222222222,225,9,0.9166067242622375,-470.7919616699219,4260.2841796875,128,-81.8318862915039,0.0007
1,25.0,167,1896.1,250,10,0.9005262851715088,-442.2667541503906,3657.75,153,-98.4884262084961,0.0007
1,25.0,184,1917.8181818181818,275,11,0.8847552537918091,-443.0813903808594,4489.93017578125,178,-115.0137710571289,0.0007
1,25.0,203,1936.0,300,12,0.8692889213562012,-459.1048278808594,919.7664794921875,203,-131.41664123535156,0.0007
1,25.0,219,1969.2307692307693,325,13,0.854123055934906,-516.3219604492188,3608.15771484375,228,-147.1795654296875,0.0007
1,25.0,235,1964.4285714285713,350,14,0.8392654061317444,-433.6568298339844,2733.60888671875,253,-163.6812744140625,0.0007
1,25.0,254,1977.6666666666667,375,15,0.8247069716453552,-433.2208557128906,4346.6787109375,278,-179.244873046875,0.0007
1,25.0,266,1949.6875,400,16,0.8104403018951416,-422.5845642089844,1113.258544921875,303,-195.2744903564453,0.0007
1,25.0,285,1945.7058823529412,425,17,0.7964451313018799,-417.7571105957031,314.4652099609375,328,-210.0880126953125,0.0007
1,25.0,306,1942.6666666666667,450,18,0.7827399969100952,-389.4318542480469,377.0048828125,353,-227.3965301513672,0.0007
1,25.0,327,1959.7368421052631,475,19,0.7693017721176147,-414.4201354980469,1826.988525390625,378,-243.120849609375,0.0007
1,25.0,345,1975.35,500,20,0.756117582321167,-407.7029724121094,1377.72412109375,403,-258.9165954589844,0.0007
1,25.0,365,1967.5238095238096,525,21,0.7431742548942566,-357.9847106933594,480.76983642578125,428,-270.2869567871094,0.0007
1,25.0,383,1967.1363636363637,550,22,0.7304808497428894,-380.1126708984375,808.3280029296875,453,-290.0776672363281,0.0007
1,25.0,392,1916.5217391304348,575,23,0.7180210947990417,-363.988525390625,610.1455078125,478,-292.9578552246094,0.0007
1,25.0,410,1917.1666666666667,600,24,0.7057758569717407,-409.1559753417969,767.3914794921875,503,-316.0753173828125,0.0007
1,25.0,428,1909.6,625,25,0.6937355399131775,-385.0735168457031,573.5921020507812,528,-333.4228820800781,0.0007
1,25.0,450,1934.5,650,26,0.6818931698799133,-387.5986022949219,1596.004150390625,553,-351.503173828125,0.0007
1,25.0,462,1926.111111111111,675,27,0.6702638864517212,-366.242919921875,979.545166015625,578,-365.593505859375,0.0007
1,25.0,479,1926.0714285714287,700,28,0.6588643789291382,-359.3724670410156,802.43896484375,603,-382.7530822753906,0.0007
1,25.0,498,1929.8275862068965,725,29,0.6476122140884399,-325.43597412109375,1861.7763671875,628,-396.8590087890625,0.0007
1,25.0,516,1925.5666666666666,750,30,0.6365702152252197,-358.2683410644531,1120.226318359375,653,-405.0133361816406,0.0007
1,25.0,543,1942.4193548387098,775,31,0.6257391571998596,-343.8619079589844,753.146240234375,678,-422.1430358886719,0.0007
1,25.0,566,1938.375,800,32,0.6150681376457214,-331.80743408203125,1708.3018798828125,703,-439.9571533203125,0.0007
1,25.0,577,1939.5151515151515,825,33,0.6045987010002136,-395.9312744140625,1107.826171875,728,-443.1717224121094,0.0007
1,25.0,594,1933.0588235294117,850,34,0.5943350195884705,-340.757568359375,2159.3037109375,753,-472.3236389160156,0.0007
