time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/entropy_loss,train/policy_loss,train/explained_variance,train/value_loss,train/n_updates,train/std,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate
16,1,24,1,,,,,,,,,
30,1,48,2,-794.6054077148438,790132.3125,-0.00023829936981201172,2148823.25,1,0.9996305108070374,25.0,3672.0,0.0007
37,1,72,3,-794.38671875,1281422.75,0.00016051530838012695,3866217.75,2,0.9992833733558655,25.0,3543.5,0.0007
46,2,96,4,-794.1860961914062,340198.40625,0.00031429529190063477,279097.40625,3,0.9992814064025879,25.0,2783.6666666666665,0.0007
61,1,120,5,-794.180419921875,532815.8125,-1.1324882507324219e-05,664284.8125,4,0.9989266395568848,25.0,2551.0,0.0007
80,1,144,6,-793.9780883789062,815557.3125,0.0002911686897277832,1849140.0,5,0.9989468455314636,25.0,2708.4,0.0007
93,1,168,7,-793.9876098632812,731488.5,0.0012140274047851562,1545318.375,6,0.9987631440162659,25.0,2787.0,0.0007
109,1,192,8,-793.880615234375,390459.625,0.0003082156181335449,355993.09375,7,0.9986923336982727,25.0,2647.4285714285716,0.0007
130,1,216,9,-793.8392944335938,885742.75,8.440017700195312e-05,2048154.875,8,0.9983878135681152,25.0,2755.875,0.0007
149,1,240,10,-793.665283203125,1018355.0625,0.00030881166458129883,2634532.25,9,0.9983059763908386,25.0,2911.0,0.0007
162,1,264,11,-793.6172485351562,1021785.3125,0.00020992755889892578,2565813.25,10,0.9982640743255615,25.0,2953.4,0.0007
177,1,288,12,-793.593017578125,548355.6875,0.00044208765029907227,806373.6875,11,0.9982609152793884,25.0,2980.4545454545455,0.0007
192,1,312,13,-793.5897827148438,837561.0625,8.58306884765625e-05,1490928.5,12,0.9982194900512695,25.0,2979.5,0.0007
207,1,336,14,-793.565673828125,581464.9375,0.00015932321548461914,782091.6875,13,0.9982315301895142,25.0,3011.6923076923076,0.0007
227,1,360,15,-793.571044921875,926049.3125,2.956390380859375e-05,1600754.0,14,0.9981185793876648,25.0,3012.5,0.0007
243,1,384,16,-793.5055541992188,645046.3125,0.0001309514045715332,1101624.5,15,0.997955322265625,25.0,2998.733333333333,0.0007
262,1,408,17,-793.4118041992188,475650.90625,5.4717063903808594e-05,722424.3125,16,0.9978317022323608,25.0,2997.0625,0.0007
275,1,432,18,-793.3399047851562,428585.78125,5.6684017181396484e-05,718369.8125,17,0.9976697564125061,25.0,3017.705882352941,0.0007
291,1,456,19,-793.2487182617188,464855.09375,0.00045055150985717773,431405.125,18,0.9975629448890686,25.0,3053.3333333333335,0.0007
307,1,480,20,-793.1887817382812,613952.4375,3.7550926208496094e-05,1092924.625,19,0.9975345134735107,25.0,3048.7368421052633,0.0007
322,1,504,21,-793.1719360351562,585683.3125,3.814697265625e-06,924454.5,20,0.9977232813835144,25.0,3062.4,0.0007
340,1,528,22,-793.2770385742188,1037385.75,2.4437904357910156e-06,2366280.25,21,0.9977912902832031,25.0,3122.8571428571427,0.0007
353,1,552,23,-793.315673828125,1152862.125,3.516674041748047e-06,3398212.25,22,0.9978238940238953,25.0,3137.3636363636365,0.0007
371,1,576,24,-793.3345336914062,1034780.75,6.556510925292969e-07,2169933.0,23,0.9976560473442078,25.0,3152.8260869565215,0.0007
394,1,600,25,-793.2392578125,577666.9375,1.3768672943115234e-05,952178.3125,24,0.997614860534668,25.0,3198.625,0.0007
405,1,624,26,-793.2149047851562,1210893.5,1.7881393432617188e-05,3510755.25,25,0.9976322650909424,25.0,3198.625,0.0007
420,1,648,27,-793.2243041992188,706988.75,-1.1920928955078125e-07,1025216.9375,26,0.9976905584335327,25.0,3143.28,0.0007
