time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/n_updates
1,19,4117.0,1,25.0,25,,,,,,
2,34,3665.0,1,25.0,50,1.0,2945.3759765625,7e-05,51926.7578125,0.0,1
3,56,3806.3333333333335,1,25.0,75,1.001369595527649,244.6681365966797,7e-05,29148.361328125,0.44095301628112793,26
4,73,3616.25,1,25.0,100,1.0010590553283691,-280.9954528808594,7e-05,37664.82421875,0.858465850353241,51
5,94,3738.8,1,25.0,125,0.9996758699417114,-459.2752380371094,7e-05,17100.30859375,-0.2979397475719452,76
6,120,3859.0,1,25.0,150,0.9980411529541016,-559.5367431640625,7e-05,5057.0537109375,-1.8289341926574707,101
7,145,3844.8571428571427,1,25.0,175,0.9963575005531311,-561.6932373046875,7e-05,7667.701171875,-3.3988351821899414,126
8,163,3878.5,1,25.0,200,0.994659960269928,-573.4208984375,7e-05,4971.8974609375,-4.993137836456299,151
9,188,3909.0,1,25.0,225,0.9929563999176025,-584.0428466796875,7e-05,7638.37890625,-6.605184078216553,176
10,205,3896.2,1,25.0,250,0.9912505745887756,-562.1552124023438,7e-05,6287.4599609375,-8.217061996459961,201
11,221,3787.090909090909,1,25.0,275,0.9895434975624084,-578.1702270507812,7e-05,7028.7783203125,-9.822880744934082,226
12,234,3656.5833333333335,1,25.0,300,0.9878360629081726,-565.2971801757812,7e-05,6386.66845703125,-11.448050498962402,251
13,259,3729.230769230769,1,25.0,325,0.9861289858818054,-574.00244140625,7e-05,5318.17822265625,-13.049811363220215,276
14,274,3615.714285714286,1,25.0,350,0.984422504901886,-559.014404296875,7e-05,8277.240234375,-14.68436050415039,301
15,292,3661.266666666667,1,25.0,375,0.9827170372009277,-540.360107421875,7e-05,2705.862548828125,-16.2983341217041,326
16,311,3643.8125,1,25.0,400,0.9810131192207336,-570.2101440429688,7e-05,4032.2353515625,-17.93268585205078,351
17,330,3686.294117647059,1,25.0,425,0.9793105125427246,-562.3019409179688,7e-05,4191.697265625,-19.566572189331055,376
18,347,3682.4444444444443,1,25.0,450,0.9776096940040588,-577.1744995117188,7e-05,3468.8955078125,-21.225444793701172,401
19,368,3709.684210526316,1,25.0,475,0.9759110808372498,-563.0488891601562,7e-05,6073.97705078125,-22.80008888244629,426
20,386,3725.1,1,25.0,500,0.9742143154144287,-553.8646850585938,7e-05,6288.0439453125,-24.44922637939453,451
21,401,3663.3809523809523,1,25.0,525,0.9725197553634644,-586.5585327148438,7e-05,6505.1220703125,-26.0734920501709,476
22,418,3644.5,1,25.0,550,0.9708272814750671,-550.0580444335938,7e-05,3808.1318359375,-27.724609375,501
23,433,3611.478260869565,1,25.0,575,0.96913743019104,-562.558837890625,7e-05,4845.59228515625,-29.332307815551758,526
24,448,3568.3333333333335,1,25.0,600,0.9674500226974487,-556.04052734375,7e-05,4727.56591796875,-30.949499130249023,551
25,463,3545.96,1,25.0,625,0.9657651782035828,-547.5025024414062,7e-05,3966.494384765625,-32.59823989868164,576
26,479,3516.269230769231,1,25.0,650,0.9640825986862183,-558.7306518554688,7e-05,5662.84619140625,-34.20613479614258,601
27,497,3513.296296296296,1,25.0,675,0.9624027013778687,-564.2622680664062,7e-05,4099.85400390625,-35.9467887878418,626
28,508,3439.5714285714284,1,25.0,700,0.9607241749763489,-553.7239990234375,7e-05,4419.5107421875,-37.53619384765625,651
29,526,3449.8275862068967,1,25.0,725,0.9590489268302917,-529.9270629882812,7e-05,1612.504638671875,-39.18807601928711,676
30,542,3434.766666666667,1,25.0,750,0.9573763608932495,-563.2537231445312,7e-05,6007.3076171875,-40.795963287353516,701
31,553,3395.1612903225805,1,25.0,775,0.9557059407234192,-520.421875,7e-05,4819.9169921875,-42.371864318847656,726
32,571,3386.4375,1,25.0,800,0.9540383815765381,-546.9156494140625,7e-05,2174.02490234375,-44.11776351928711,751
33,588,3388.5757575757575,1,25.0,825,0.9523739814758301,-547.5143432617188,7e-05,3611.298583984375,-45.708675384521484,776
34,605,3379.3823529411766,1,25.0,850,0.9507118463516235,-541.6275634765625,7e-05,2849.748046875,-47.3787956237793,801
35,624,3387.885714285714,1,25.0,875,0.9490524530410767,-558.0602416992188,7e-05,2641.783203125,-49.03573226928711,826
36,646,3415.0555555555557,1,25.0,900,0.9473951458930969,-567.187744140625,7e-05,2795.96044921875,-50.6934700012207,851
37,663,3423.7567567567567,1,25.0,925,0.9457406401634216,-540.3361206054688,7e-05,2644.803466796875,-52.215667724609375,876
38,684,3447.842105263158,1,25.0,950,0.9440881609916687,-532.4033813476562,7e-05,4513.14453125,-54.01290512084961,901
39,703,3449.051282051282,1,25.0,975,0.9424389600753784,-551.05419921875,7e-05,10520.0576171875,-55.4047966003418,926
40,722,3449.375,1,25.0,1000,0.940792441368103,-523.4238891601562,7e-05,1301.6103515625,-57.232479095458984,951
41,737,3438.170731707317,1,25.0,1025,0.9391482472419739,-538.0346069335938,7e-05,2163.813720703125,-58.89137649536133,976
42,753,3423.0476190476193,1,25.0,1050,0.9375072717666626,-528.702392578125,7e-05,6579.748046875,-60.453311920166016,1001
43,771,3434.8837209302324,1,25.0,1075,0.9358689785003662,-518.0546875,7e-05,3014.025146484375,-62.20559310913086,1026
44,789,3439.25,1,25.0,1100,0.9342333674430847,-562.10546875,7e-05,2029.385009765625,-63.68330383300781,1051
45,807,3436.4666666666667,1,25.0,1125,0.9326006174087524,-493.992919921875,7e-05,4653.2978515625,-65.4993896484375,1076
46,820,3406.5652173913045,1,25.0,1150,0.9309701323509216,-542.06982421875,7e-05,5844.5068359375,-67.04100799560547,1101
47,837,3411.0851063829787,1,25.0,1175,0.9293423891067505,-547.4603881835938,7e-05,2072.703125,-68.7252426147461,1126
48,851,3395.9791666666665,1,25.0,1200,0.9277178049087524,-538.6616821289062,7e-05,2926.43994140625,-70.3741455078125,1151
49,866,3382.081632653061,1,25.0,1225,0.9260957837104797,-519.3483276367188,7e-05,4605.1259765625,-72.04557800292969,1176
50,884,3386.1,1,25.0,1250,0.9244765639305115,-513.0050048828125,7e-05,5957.779296875,-73.64134979248047,1201
51,904,3406.3333333333335,1,25.0,1275,0.922859787940979,-536.672119140625,7e-05,2636.48828125,-75.34795379638672,1226
52,922,3410.653846153846,1,25.0,1300,0.9212456941604614,-557.4928588867188,7e-05,5879.78515625,-76.8682861328125,1251
53,942,3435.2830188679245,1,25.0,1325,0.9196344614028931,-517.42431640625,7e-05,3687.7705078125,-78.5414810180664,1276
54,962,3451.537037037037,1,25.0,1350,0.91802579164505,-514.6765747070312,7e-05,1581.362060546875,-80.23422241210938,1301
55,980,3470.7818181818184,1,25.0,1375,0.916420042514801,-559.4561767578125,7e-05,3192.5166015625,-81.91190338134766,1326
56,990,3435.3214285714284,1,25.0,1400,0.914817214012146,-533.1821899414062,7e-05,5027.306640625,-83.60364532470703,1351
57,1008,3438.8596491228072,1,25.0,1425,0.9132167100906372,-534.7254638671875,7e-05,1663.911376953125,-85.26085662841797,1376
58,1025,3437.0172413793102,1,25.0,1450,0.9116186499595642,-476.1589660644531,7e-05,8500.751953125,-86.78511810302734,1401
59,1047,3438.576271186441,1,25.0,1475,0.9100238084793091,-534.7655639648438,7e-05,3713.583984375,-88.5232162475586,1426
