time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss
25,934.0,3,7,1,25.0,,,,,,
50,1628.5,2,18,2,25.0,3354144.0,7e-05,1.0,0.0,1,3652.897705078125
75,1907.6666666666667,2,33,3,25.0,64465.91015625,7e-05,1.001441240310669,-0.07735958695411682,26,649.9891357421875
100,2506.0,1,51,4,25.0,103218.8046875,7e-05,1.0014104843139648,1.2171608209609985,51,-267.74102783203125
125,2751.6,1,70,5,25.0,74091.28125,7e-05,1.0002789497375488,0.2567235827445984,76,-352.6706237792969
150,2497.1666666666665,1,80,6,25.0,50705.7265625,7e-05,0.9988818764686584,-1.0413038730621338,101,-398.8964538574219
175,2681.1428571428573,1,97,7,25.0,34072.546875,7e-05,0.9974059462547302,-2.4276320934295654,126,-481.3819885253906
200,2768.125,1,113,8,25.0,10582.4296875,7e-05,0.9958868026733398,-3.8459787368774414,151,-588.5780639648438
225,2745.777777777778,1,127,9,25.0,7127.43505859375,7e-05,0.9943377375602722,-5.30182409286499,176,-665.6857299804688
250,2737.5,1,142,10,25.0,6059.5439453125,7e-05,0.992766797542572,-6.783029556274414,201,-674.68701171875
275,2818.909090909091,1,165,11,25.0,6390.0595703125,7e-05,0.9911792874336243,-8.288996696472168,226,-704.27978515625
300,2633.0833333333335,1,173,12,25.0,6489.005859375,7e-05,0.9895789623260498,-9.80227279663086,251,-688.6094360351562
325,2742.6153846153848,1,194,13,25.0,5826.943359375,7e-05,0.9879677891731262,-11.294532775878906,276,-702.3298950195312
350,2833.8571428571427,1,212,14,25.0,6876.482421875,7e-05,0.9863484501838684,-12.82461166381836,301,-702.8629760742188
375,2883.8,1,230,15,25.0,6169.0869140625,7e-05,0.9847224950790405,-14.428531646728516,326,-717.7020874023438
400,2943.0625,1,247,16,25.0,5266.3505859375,7e-05,0.9830912947654724,-15.930033683776855,351,-738.356689453125
425,2982.470588235294,1,264,17,25.0,3585.93115234375,7e-05,0.9814556837081909,-17.49384307861328,376,-744.8435668945312
450,3004.277777777778,1,282,18,25.0,4604.62158203125,7e-05,0.979816198348999,-19.0926570892334,401,-741.4799194335938
475,3093.684210526316,1,301,19,25.0,5603.66015625,7e-05,0.9781741499900818,-20.662853240966797,426,-786.2218627929688
500,3132.8,1,319,20,25.0,5097.39453125,7e-05,0.9765297770500183,-22.21483612060547,451,-787.5316772460938
525,3154.6666666666665,1,341,21,25.0,9754.29296875,7e-05,0.974884033203125,-23.81479835510254,476,-809.1692504882812
550,3165.9545454545455,1,358,22,25.0,3860.25634765625,7e-05,0.9732377529144287,-25.32525634765625,501,-783.1380004882812
575,3170.1304347826085,1,374,23,25.0,6829.71728515625,7e-05,0.9715909957885742,-26.9527530670166,526,-810.9892578125
600,3191.25,1,390,24,25.0,5827.10107421875,7e-05,0.9699432253837585,-28.453353881835938,551,-804.5867309570312
625,3235.32,1,410,25,25.0,3383.589111328125,7e-05,0.9682955741882324,-30.183298110961914,576,-851.453857421875
650,3262.269230769231,1,430,26,25.0,3291.5458984375,7e-05,0.9666472673416138,-31.79486846923828,601,-872.3349609375
675,3256.6666666666665,1,445,27,25.0,10722.873046875,7e-05,0.964999258518219,-33.31326675415039,626,-857.4500122070312
700,3297.3928571428573,1,467,28,25.0,15669.46875,7e-05,0.9633519053459167,-34.907962799072266,651,-846.9304809570312
725,3344.448275862069,1,490,29,25.0,6105.1513671875,7e-05,0.9617053270339966,-36.51039505004883,676,-846.28369140625
750,3374.1,1,510,30,25.0,11027.6142578125,7e-05,0.9600597023963928,-38.20907974243164,701,-853.6489868164062
775,3396.8709677419356,1,527,31,25.0,14183.017578125,7e-05,0.9584150314331055,-39.81768798828125,726,-874.6419067382812
800,3436.03125,1,545,32,25.0,13551.54296875,7e-05,0.9567715525627136,-41.434104919433594,751,-865.3104858398438
825,3428.6666666666665,1,562,33,25.0,17440.45703125,7e-05,0.9551289677619934,-42.92523193359375,776,-867.681640625
850,3424.1176470588234,1,578,34,25.0,17199.90234375,7e-05,0.9534880518913269,-44.62735366821289,801,-911.1064453125
875,3426.2571428571428,1,596,35,25.0,7324.3896484375,7e-05,0.9518486261367798,-46.24015426635742,826,-835.6103515625
900,3408.777777777778,1,612,36,25.0,3060.7646484375,7e-05,0.9502105712890625,-47.887176513671875,851,-871.1713256835938
925,3398.675675675676,1,626,37,25.0,15365.9384765625,7e-05,0.9485734701156616,-49.5072135925293,876,-898.2669067382812
950,3351.4736842105262,1,636,38,25.0,5285.0048828125,7e-05,0.9469385147094727,-51.059661865234375,901,-903.4573364257812
975,3344.2051282051284,1,653,39,25.0,31084.625,7e-05,0.9453051686286926,-52.635257720947266,926,-854.6680297851562
1000,3374.3,1,670,40,25.0,12082.85546875,7e-05,0.9436736106872559,-54.40187072753906,951,-894.821044921875
1025,3373.243902439024,1,687,41,25.0,14637.888671875,7e-05,0.9420437812805176,-56.02937316894531,976,-898.310302734375
1050,3319.5,1,695,42,25.0,13281.498046875,7e-05,0.940415620803833,-57.623016357421875,1001,-893.1486206054688
1075,3305.9302325581393,1,710,43,25.0,20039.69921875,7e-05,0.9387887716293335,-59.3237190246582,1026,-927.1806640625
1100,3253.0,1,718,44,25.0,13194.27734375,7e-05,0.9371634721755981,-60.80419921875,1051,-899.6163940429688
1125,3236.1555555555556,1,731,45,25.0,3006.83056640625,7e-05,0.9355401396751404,-62.49580383300781,1076,-895.475341796875
1150,3250.1739130434785,1,748,46,25.0,3836.26904296875,7e-05,0.9339184165000916,-64.19441986083984,1101,-912.3037109375
1175,3261.3617021276596,1,767,47,25.0,8321.3310546875,7e-05,0.9322984218597412,-65.86829376220703,1126,-915.1338500976562
1200,3272.9166666666665,1,786,48,25.0,5408.84716796875,7e-05,0.9306804537773132,-67.4932632446289,1151,-902.730712890625
