rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/ent_coef
3823.0,25.0,18,1,1,25,,,,,,
3886.0,25.0,35,2,1,50,2697.47265625,6304491.0,0.0,1,7e-05,1.0
3440.3333333333335,25.0,52,3,1,75,366.7507629394531,157493.28125,0.3073504865169525,26,7e-05,1.001297950744629
3662.25,25.0,71,4,1,100,-284.3093566894531,229106.34375,0.6418958306312561,51,7e-05,1.0007354021072388
3713.0,25.0,101,5,1,125,-393.3193359375,215338.96875,-0.8023393750190735,76,7e-05,0.9991291761398315
3783.0,25.0,127,6,1,150,-473.685302734375,161720.546875,-2.464174509048462,101,7e-05,0.9973529577255249
3834.714285714286,25.0,147,7,1,175,-582.926513671875,73571.171875,-4.137228965759277,126,7e-05,0.9955668449401855
3731.25,25.0,164,8,1,200,-750.2765502929688,17035.07421875,-5.817179203033447,151,7e-05,0.9937880039215088
3596.1111111111113,25.0,179,9,1,225,-875.2669067382812,12627.60546875,-7.491064071655273,176,7e-05,0.9920170307159424
3622.1,25.0,203,10,1,250,-916.1892700195312,11060.1875,-9.163037300109863,201,7e-05,0.9902533292770386
3663.818181818182,25.0,224,11,1,275,-946.623779296875,8805.79296875,-10.833251953125,226,7e-05,0.9884964227676392
3650.8333333333335,25.0,244,12,1,300,-960.6782836914062,8320.5625,-12.480682373046875,251,7e-05,0.9867453575134277
3652.6923076923076,25.0,263,13,1,325,-1000.6585083007812,31774.13671875,-14.132817268371582,276,7e-05,0.9849995374679565
3668.714285714286,25.0,287,14,1,350,-1031.384033203125,19510.6796875,-15.785017967224121,301,7e-05,0.983258068561554
3645.733333333333,25.0,303,15,1,375,-1109.2503662109375,5942.955078125,-17.436460494995117,326,7e-05,0.981521725654602
3675.625,25.0,324,16,1,400,-1133.3367919921875,56948.7890625,-19.07416534423828,351,7e-05,0.9797898530960083
3657.4117647058824,25.0,345,17,1,425,-1167.7225341796875,20651.33203125,-20.741371154785156,376,7e-05,0.978061854839325
3659.5,25.0,362,18,1,450,-1228.471435546875,25426.09375,-22.433311462402344,401,7e-05,0.9763375520706177
3538.5263157894738,25.0,373,19,1,475,-1265.9010009765625,23676.88671875,-24.10640525817871,426,7e-05,0.9746173620223999
3484.3,25.0,388,20,1,500,-1255.328857421875,78318.3671875,-25.636207580566406,451,7e-05,0.9729008078575134
3516.4761904761904,25.0,408,21,1,525,-1302.1942138671875,42779.3828125,-27.35987663269043,476,7e-05,0.971187949180603
3528.9545454545455,25.0,432,22,1,550,-1324.3399658203125,69202.0625,-29.041015625,501,7e-05,0.9694793820381165
